"","Strain","Conc","Area1","Area2","RelArea","Set","setStrain","growthRate","relGrowthRate","hormetic"
"390","MISTJ_A1",100,0.11,1.22,1.11,"3","3@MISTJ_A1",0.0622924639023818,0.696232495079514,TRUE
"391","MISTJ_A1",100,0.08,0.36,0.28,"3","3@MISTJ_A1",0.0255624054240115,0.285706748355368,TRUE
"392","MISTJ_A1",200,0.1,0.33,0.23,"3","3@MISTJ_A1",0.0208128327294502,0.232621565324592,TRUE
"393","MISTJ_A1",200,0.12,0.38,0.26,"3","3@MISTJ_A1",0.0217641160219906,0.243253900262102,TRUE
"394","MISTJ_A1",200,0.09,0.41,0.32,"3","3@MISTJ_A1",0.0274286749468359,0.306565732010327,TRUE
"395","AL1a",0,1.18,5.76,4.58,"2","2@AL1a",0.105884034337789,0.997511304831519,TRUE
"396","AL1a",0,1.14,5.38,4.24,"2","2@AL1a",0.1008911922632,0.950474785645333,TRUE
"397","AL1a",0,1.41,6.62,5.21,"2","2@AL1a",0.111669387986129,1.05201390952315,TRUE
"398","AL1a",0.1,0.98,6.42,5.44,"2","2@AL1a",0.124429787987678,1.17222696463882,TRUE
"399","AL1a",0.1,1.01,5.19,4.18,"2","2@AL1a",0.102615574223464,0.966719826835611,TRUE
"400","AL1a",0.1,0.94,5.46,4.52,"2","2@AL1a",0.11018850802542,1.0380628496571,TRUE
"401","AL1a",0.5,0.6,4.85,4.25,"2","2@AL1a",0.115068471283765,1.08403596116353,TRUE
"402","AL1a",0.5,0.51,5.06,4.55,"2","2@AL1a",0.12374301893081,1.16575705723191,TRUE
"403","AL1a",0.5,0.65,5.41,4.76,"2","2@AL1a",0.122486759110528,1.153922096651,TRUE
"404","AL1a",1,0.44,3.56,3.12,"2","2@AL1a",0.0986099636239322,0.928983808551317,TRUE
"405","AL1a",1,0.52,4.14,3.62,"2","2@AL1a",0.105873297726579,0.997410157466624,TRUE
"406","AL1a",1,0.43,3.95,3.52,"2","2@AL1a",0.107334395543108,1.01117485389671,TRUE
"407","AL1a",5,0.29,1.26,0.97,"2","2@AL1a",0.0470679782656268,0.443417562516985,TRUE
"408","AL1a",5,0.19,0.91,0.72,"2","2@AL1a",0.0417540032584299,0.393355717249919,TRUE
"409","AL1a",5,0.25,1.35,1.1,"2","2@AL1a",0.053347752368767,0.502577998732391,TRUE
"410","AL1a",10,0.23,1.01,0.78,"2","2@AL1a",0.0423468135926277,0.398940459214858,TRUE
"411","AL1a",10,0.21,0.87,0.66,"2","2@AL1a",0.0382424090091577,0.360273723505181,TRUE
"412","AL1a",10,0.19,0.84,0.65,"2","2@AL1a",0.0387376795163349,0.364939563194315,TRUE
"413","AL1a",50,0.23,0.62,0.39,"2","2@AL1a",0.0248096433341068,0.233726452239809,TRUE
"414","AL1a",50,0.17,0.44,0.27,"2","2@AL1a",0.0202313867524131,0.190595656126679,TRUE
"415","AL1a",50,0.15,0.48,0.33,"2","2@AL1a",0.0246246176291314,0.231983363836051,TRUE
"416","MIBer_D1",0,1.15,5.89,4.74,"2","2@MIBer_D1",0.109174850587904,1.05526882694001,TRUE
"417","MIBer_D1",0,1.14,5.06,3.92,"2","2@MIBer_D1",0.0952462074810288,0.920636511959888,TRUE
"418","MIBer_D1",0,1.33,6.09,4.76,"2","2@MIBer_D1",0.105949667761606,1.0240946611001,TRUE
"419","MIBer_D1",0.1,0.9,4.94,4.04,"2","2@MIBer_D1",0.102676683303686,0.992458451378694,TRUE
"420","MIBer_D1",0.1,1,5.77,4.77,"2","2@MIBer_D1",0.113005757460126,1.09229783663772,TRUE
"421","MIBer_D1",0.1,1.1,4.99,3.89,"2","2@MIBer_D1",0.0955110051520067,0.923196009189557,TRUE
"422","MIBer_D1",0.5,0.76,5.91,5.15,"2","2@MIBer_D1",0.125674790728596,1.21475493920016,TRUE
"423","MIBer_D1",0.5,0.67,5.59,4.92,"2","2@MIBer_D1",0.12458779396472,1.20424818060396,TRUE
"424","MIBer_D1",0.5,0.63,5.51,4.88,"2","2@MIBer_D1",0.125218938281364,1.21034873324103,TRUE
"425","MIBer_D1",1,0.55,4.4,3.85,"2","2@MIBer_D1",0.109291408706634,1.05639546140353,TRUE
"426","MIBer_D1",1,0.45,3.93,3.48,"2","2@MIBer_D1",0.105713199023883,1.02180898737469,TRUE
"427","MIBer_D1",1,0.61,4.85,4.24,"2","2@MIBer_D1",0.114550360002544,1.10722774864812,TRUE
"428","MIBer_D1",10,0.23,1.1,0.87,"2","2@MIBer_D1",0.0458787440400028,0.443457519235099,TRUE
"429","MIBer_D1",10,0.29,1.19,0.9,"2","2@MIBer_D1",0.0445189693589348,0.430314127466151,TRUE
"430","MIBer_D1",10,0.28,1.16,0.88,"2","2@MIBer_D1",0.0441585302717939,0.42683017369271,TRUE
"431","MITU_B1",0,0.95,2.98,2.03,"2","2@MITU_B1",0.060576891772172,0.945344189129006,TRUE
"432","MITU_B1",0,1.1,3.82,2.72,"2","2@MITU_B1",0.0729959106399592,1.13915154665241,TRUE
"433","MITU_B1",0,1.02,3.02,2,"2","2@MITU_B1",0.0586647734954901,0.91550426421858,TRUE
"434","MITU_B1",0.1,0.82,2.97,2.15,"2","2@MITU_B1",0.0659159035956082,1.02866315210847,TRUE
"435","MITU_B1",0.1,0.85,2.46,1.61,"2","2@MITU_B1",0.0521056700232075,0.813144929296963,TRUE
"436","MITU_B1",0.1,0.93,3.69,2.76,"2","2@MITU_B1",0.0770982954862962,1.20317209248433,TRUE
"437","MITU_B1",0.5,0.63,3.25,2.62,"2","2@MITU_B1",0.0813279481677023,1.26917874068674,TRUE
"438","MITU_B1",0.5,0.6,3.42,2.82,"2","2@MITU_B1",0.0866214397869251,1.35178732947429,TRUE
"439","MITU_B1",0.5,0.52,3.02,2.5,"2","2@MITU_B1",0.0819448669252728,1.27880618352134,TRUE
"440","MITU_B1",1,0.52,2.96,2.44,"2","2@MITU_B1",0.0805465096397432,1.25698385333026,TRUE
"441","MITU_B1",1,0.45,3.22,2.77,"2","2@MITU_B1",0.0905617333577775,1.41327832912276,TRUE
"442","MITU_B1",1,0.52,2.58,2.06,"2","2@MITU_B1",0.0713399662504134,1.11330939198945,TRUE
"443","MITU_B1",5,0.2,0.72,0.52,"2","2@MITU_B1",0.0323453548971005,0.50477157877777,TRUE
"444","MITU_B1",5,0.21,0.78,0.57,"2","2@MITU_B1",0.0342478001750525,0.53446054986945,TRUE
"445","MITU_B1",5,0.19,0.77,0.58,"2","2@MITU_B1",0.0355928303383741,0.555450673527188,TRUE
"446","MITU_B1",10,0.19,0.59,0.4,"2","2@MITU_B1",0.0267768148710949,0.417870669841816,TRUE
"447","MITU_B1",10,0.2,0.96,0.76,"2","2@MITU_B1",0.0429253409931601,0.669879561118493,TRUE
"448","MITU_B1",10,0.18,0.9,0.72,"2","2@MITU_B1",0.042267409514996,0.659612086483664,TRUE
"449","MITU_B1",50,0.12,0.35,0.23,"2","2@MITU_B1",0.0197625791635799,0.308408682385956,TRUE
"450","MITU_B1",50,0.14,0.46,0.32,"2","2@MITU_B1",0.0245073686548647,0.382454395908138,TRUE
"451","MITU_B1",50,0.16,0.43,0.27,"2","2@MITU_B1",0.0206125739424991,0.321673437336793,TRUE
"452","MIVB_A5",0,1.01,5.33,4.32,"2","2@MIVB_A5",0.105075612171786,0.960871177115412,TRUE
"453","MIVB_A5",0,1.05,5.71,4.66,"2","2@MIVB_A5",0.110006132521263,1.00595866025325,TRUE
"454","MIVB_A5",0,0.87,5.45,4.58,"2","2@MIVB_A5",0.112981833467018,1.03317016263133,TRUE
"455","MIVB_A5",0.1,0.89,5.8,4.91,"2","2@MIVB_A5",0.118070436788958,1.07970324640564,TRUE
"456","MIVB_A5",0.1,0.79,5.84,5.05,"2","2@MIVB_A5",0.123137580640924,1.12604009257782,TRUE
"457","MIVB_A5",0.1,0.84,5.41,4.57,"2","2@MIVB_A5",0.113597600476826,1.03880108649001,TRUE
"458","MIVB_A5",0.5,0.41,4.09,3.68,"2","2@MIVB_A5",0.111392174282346,1.01863341466083,TRUE
"459","MIVB_A5",0.5,0.4,3.88,3.48,"2","2@MIVB_A5",0.10778568187039,0.985653596247127,TRUE
"460","MIVB_A5",0.5,0.35,3.69,3.34,"2","2@MIVB_A5",0.107141962881473,0.979767063589089,TRUE
"461","MIVB_A5",1,0.24,2.66,2.42,"2","2@MIVB_A5",0.0919671492144254,0.840999934191599,TRUE
"462","MIVB_A5",1,0.4,2.91,2.51,"2","2@MIVB_A5",0.0865157870051279,0.791149576771206,TRUE
"463","MIVB_A5",1,0.4,2.66,2.26,"2","2@MIVB_A5",0.0804772201210703,0.735929485733444,TRUE
"464","MIVB_A5",10,0.15,0.72,0.57,"2","2@MIVB_A5",0.0371744357661862,0.339944189855007,TRUE
"465","MIVB_A5",10,0.16,0.79,0.63,"2","2@MIVB_A5",0.0393981196086536,0.360278820004494,TRUE
"466","MIVB_A5",10,0.15,0.72,0.57,"2","2@MIVB_A5",0.0371744357661862,0.339944189855007,TRUE
"467","LE-11-1",0,0.67,2.13,1.46,"3","3@LE-11-1",0.0516569302590598,0.957191929815992,TRUE
"468","LE-11-1",0,0.64,1.62,0.98,"3","3@LE-11-1",0.0381063482691963,0.706102527872049,TRUE
"469","LE-11-1",0,0.72,3.04,2.32,"3","3@LE-11-1",0.0721382021987811,1.33670554231196,TRUE
"470","LE-11-1",1,0.41,3.77,3.36,"3","3@LE-11-1",0.104885774155631,1.94351108497518,TRUE
"471","LE-11-1",1,0.41,3.93,3.52,"3","3@LE-11-1",0.10817209596829,2.00440592913414,TRUE
"472","LE-11-1",1,0.38,2.17,1.79,"3","3@LE-11-1",0.0690447624776624,1.27938476228152,TRUE
"473","LE-11-1",5,0.24,1.38,1.14,"3","3@LE-11-1",0.0551967676692615,1.02278436407241,TRUE
"474","LE-11-1",5,0.18,1.16,0.98,"3","3@LE-11-1",0.0526122013905415,0.974892900687758,TRUE
"475","LE-11-1",5,0.18,1.23,1.05,"3","3@LE-11-1",0.0551930212923389,1.02271494450492,TRUE
"476","LE-11-1",10,0.21,1.17,0.96,"3","3@LE-11-1",0.0502457420682732,0.931042912812883,TRUE
"477","LE-11-1",10,0.21,1.12,0.91,"3","3@LE-11-1",0.0483625692646949,0.896148121330032,TRUE
"478","LE-11-1",10,0.21,1.17,0.96,"3","3@LE-11-1",0.0502457420682732,0.931042912812883,TRUE
"479","LE-11-1",50,0.15,0.58,0.43,"3","3@LE-11-1",0.0301663285115343,0.558975650674762,TRUE
"480","LE-11-1",50,0.17,0.65,0.48,"3","3@LE-11-1",0.0317489799375227,0.588301844954419,TRUE
"481","LE-11-1",50,0.13,0.61,0.48,"3","3@LE-11-1",0.0338892434212809,0.62796047205555,TRUE
"482","LE-11-1",100,0.12,0.78,0.66,"3","3@LE-11-1",0.0432625348222171,0.801645567933198,TRUE
"483","LE-11-1",100,0.16,0.56,0.4,"3","3@LE-11-1",0.0280749987350533,0.520223754760844,TRUE
"484","LE-11-1",100,0.14,1.02,0.88,"3","3@LE-11-1",0.051243305177009,0.949527545027293,TRUE
"485","LE-11-1",200,0.18,0.57,0.39,"3","3@LE-11-1",0.0266554894783045,0.493920550175422,TRUE
"486","LE-11-1",200,0.16,0.51,0.35,"3","3@LE-11-1",0.0253194456692096,0.469163942581187,TRUE
"487","Ca2a",0,0.48,2.21,1.73,"4","4@Ca2a",0.063978014861694,1.01753062332538,TRUE
"488","Ca2a",0,0.4,2.29,1.89,"4","4@Ca2a",0.0709927057628113,1.12909492897755,TRUE
"489","Ca2a",0,0.63,2.13,1.5,"4","4@Ca2a",0.0536565699800999,0.853374447697069,TRUE
"490","Ca2a",1,0.14,3.13,2.99,"4","4@Ca2a",0.11243612205477,1.78822674642221,TRUE
"491","Ca2a",1,0.16,2.49,2.33,"4","4@Ca2a",0.09494290183426,1.51000793464096,TRUE
"492","Ca2a",1,0.23,4.06,3.83,"4","4@Ca2a",0.12374781314337,1.96813217345256,TRUE
"493","Ca2a",5,0.11,0.84,0.73,"4","4@Ca2a",0.0471382540938805,0.749704678619759,TRUE
"494","Ca2a",5,0.06,1.15,1.09,"4","4@Ca2a",0.0666897520773509,1.06065912090861,TRUE
"495","Ca2a",5,0.08,0.84,0.76,"4","4@Ca2a",0.051073054631724,0.812285239341879,TRUE
"496","Ca2a",10,0.07,0.76,0.69,"4","4@Ca2a",0.0489397918429353,0.778357018532193,TRUE
"497","Ca2a",10,0.13,0.64,0.51,"4","4@Ca2a",0.0354186027973992,0.563310897652279,TRUE
"498","Ca2a",10,0.08,0.75,0.67,"4","4@Ca2a",0.0470036571060495,0.747563997055609,TRUE
"499","Ca2a",50,0.09,0.48,0.39,"4","4@Ca2a",0.0316607334940013,0.503544318415211,TRUE
"500","Ca2a",50,0.12,0.71,0.59,"4","4@Ca2a",0.0399933697689673,0.636069727356687,TRUE
"501","Ca2a",50,0.11,0.87,0.76,"4","4@Ca2a",0.0484457849185638,0.770500144967587,TRUE
"502","Ca2a",100,0.03,0.52,0.49,"4","4@Ca2a",0.0441603417331768,0.702342830535764,TRUE
"503","Ca2a",100,0.03,0.56,0.53,"4","4@Ca2a",0.0463543317405559,0.737236880071438,TRUE
"504","Ca2a",100,0.03,0.54,0.51,"4","4@Ca2a",0.0452674967121455,0.719951443405406,TRUE
"505","Ca2a",200,0.08,0.69,0.61,"4","4@Ca2a",0.0441534505185982,0.702233230044394,TRUE
"506","Ca2a",200,0.1,0.35,0.25,"4","4@Ca2a",0.0221952353272786,0.353001444109223,TRUE
"507","Ca2a",200,0.06,0.67,0.61,"4","4@Ca2a",0.0462302024809835,0.735262681229248,TRUE
"508","MISA_A1",0,0.97,4.9,3.93,"7","7@MISA_A1",0.0990320833064712,1.01040156679901,TRUE
"509","MISA_A1",0,1.27,6.33,5.06,"7","7@MISA_A1",0.111951845533543,1.14221892902198,TRUE
"510","MISA_A1",0,0.94,4,3.06,"7","7@MISA_A1",0.0830538673013999,0.847379504179007,TRUE
"511","MISA_A1",1,0.27,3.53,3.26,"7","7@MISA_A1",0.109550640352601,1.11771998488161,TRUE
"512","MISA_A1",1,0.32,3.84,3.52,"7","7@MISA_A1",0.112346779141018,1.14624834577715,TRUE
"513","MISA_A1",1,0.29,3.07,2.78,"7","7@MISA_A1",0.0978163743735478,0.997997968191517,TRUE
"514","MISA_A1",5,0.13,1.2,1.07,"7","7@MISA_A1",0.0592310394258132,0.604320671047268,TRUE
"515","MISA_A1",5,0.12,1.3,1.18,"7","7@MISA_A1",0.0639762990709858,0.652735463711104,TRUE
"516","MISA_A1",5,0.09,1.2,1.11,"7","7@MISA_A1",0.0641116925961109,0.654116852704987,TRUE
"517","MISA_A1",10,0.15,1.19,1.04,"7","7@MISA_A1",0.0567069269116361,0.578567731656819,TRUE
"518","MISA_A1",10,0.15,1.23,1.08,"7","7@MISA_A1",0.058172404452688,0.593519661921733,TRUE
"519","MISA_A1",10,0.12,1.1,0.98,"7","7@MISA_A1",0.0566122889298788,0.577602162097403,TRUE
"520","MISA_A1",25,0.13,1.05,0.92,"7","7@MISA_A1",0.0535286916102428,0.546140927928518,TRUE
"521","MISA_A1",25,0.13,1.07,0.94,"7","7@MISA_A1",0.0543115422713627,0.55412817315406,TRUE
"522","MISA_A1",25,0.12,1.04,0.92,"7","7@MISA_A1",0.054274533487713,0.553750581047175,TRUE
"523","MISA_A1",50,0.12,0.58,0.46,"7","7@MISA_A1",0.0334618544197126,0.34140360381037,TRUE
"524","MISA_A1",50,0.11,0.58,0.47,"7","7@MISA_A1",0.034650495681954,0.353531037199951,TRUE
"525","MISA_A1",50,0.07,0.52,0.45,"7","7@MISA_A1",0.0367960516395394,0.375421651118376,TRUE
"526","MISA_A1",100,0.09,0.57,0.48,"7","7@MISA_A1",0.0366709885035235,0.374145660708397,TRUE
"527","MISA_A1",100,0.08,0.55,0.47,"7","7@MISA_A1",0.0369767544905182,0.377265320741976,TRUE
"528","MISA_A1",100,0.08,0.56,0.48,"7","7@MISA_A1",0.037517701771986,0.382784481427098,TRUE
"529","Mont1",0,1.04,4.89,3.85,"7","7@Mont1",0.096035588129684,1.06627925429506,TRUE
"530","Mont1",0,1.06,4.28,3.22,"7","7@Mont1",0.083762251164483,0.930008889924566,TRUE
"531","Mont1",0,0.99,4.48,3.49,"7","7@Mont1",0.0904003880731337,1.00371185578038,TRUE
"532","Mont1",1,0.28,3.64,3.36,"7","7@Mont1",0.111123436497503,1.23379902503703,TRUE
"533","Mont1",1,0.3,4.17,3.87,"7","7@Mont1",0.120441195722418,1.33725372918927,TRUE
"534","Mont1",1,0.34,3.99,3.65,"7","7@Mont1",0.113998796908969,1.2657240354949,TRUE
"535","Mont1",5,0.21,1.73,1.52,"7","7@Mont1",0.0690759128621246,0.766947069214757,TRUE
"536","Mont1",5,0.16,1.41,1.25,"7","7@Mont1",0.0634660254685499,0.704660716174231,TRUE
"537","Mont1",5,0.15,1.39,1.24,"7","7@Mont1",0.0638085746999812,0.708464026448717,TRUE
"538","Mont1",10,0.2,1.43,1.23,"7","7@Mont1",0.0603370518083671,0.669919848064138,TRUE
"539","Mont1",10,0.13,1.22,1.09,"7","7@Mont1",0.0599637594265342,0.665775197833045,TRUE
"540","Mont1",10,0.16,1.51,1.35,"7","7@Mont1",0.0668017048246435,0.741696629273236,TRUE
"541","Mont1",25,0.14,1.31,1.17,"7","7@Mont1",0.0620920116042182,0.689405095761178,TRUE
"542","Mont1",25,0.16,1.3,1.14,"7","7@Mont1",0.059657037834138,0.662369680387004,TRUE
"543","Mont1",25,0.16,1.19,1.03,"7","7@Mont1",0.0556831915829666,0.61824822603968,TRUE
"544","Mont1",50,0.11,0.78,0.67,"7","7@Mont1",0.0444511760844586,0.493539611835048,TRUE
"545","Mont1",50,0.1,0.66,0.56,"7","7@Mont1",0.0399910532583539,0.444019048326224,TRUE
"546","Mont1",50,0.11,0.69,0.58,"7","7@Mont1",0.0402186499807547,0.446546045538068,TRUE
"547","Mont1",100,0.1,0.71,0.61,"7","7@Mont1",0.042426025932666,0.47105445153413,TRUE
"548","Mont1",100,0.11,0.75,0.64,"7","7@Mont1",0.043068856568206,0.478191774104343,TRUE
"549","Mont1",100,0.11,0.64,0.53,"7","7@Mont1",0.0377473072732468,0.419106827321269,TRUE
"550","MIBer_E4",0,1.28,3.97,2.69,"8","8@MIBer_E4",0.0694045903954584,0.913070268415265,TRUE
"551","MIBer_E4",0,1.33,4.36,3.03,"8","8@MIBer_E4",0.0753438953602942,0.991206350589992,TRUE
"552","MIBer_E4",0,1.23,4.59,3.36,"8","8@MIBer_E4",0.0832884774319254,1.09572338099474,TRUE
"553","MIBer_E4",1,0.25,3.32,3.07,"8","8@MIBer_E4",0.106558221945358,1.40185460009383,TRUE
"554","MIBer_E4",1,0.22,4.05,3.83,"8","8@MIBer_E4",0.124397323355573,1.63654157137488,TRUE
"555","MIBer_E4",1,0.23,2.67,2.44,"8","8@MIBer_E4",0.0930453652404602,1.22408267422702,TRUE
"556","MIBer_E4",5,0.11,1.39,1.28,"8","8@MIBer_E4",0.0682927418704009,0.898443053912206,TRUE
"557","MIBer_E4",5,0.11,1.76,1.65,"8","8@MIBer_E4",0.0801945068252048,1.05501984025989,TRUE
"558","MIBer_E4",5,0.13,1.86,1.73,"8","8@MIBer_E4",0.0808615082772425,1.06379475257297,TRUE
"559","MIBer_E4",10,0.09,1.37,1.28,"8","8@MIBer_E4",0.0701585859648157,0.922989654625519,TRUE
"560","MIBer_E4",10,0.11,1.39,1.28,"8","8@MIBer_E4",0.0682927418704009,0.898443053912206,TRUE
"561","MIBer_E4",10,0.1,1.35,1.25,"8","8@MIBer_E4",0.0681595209628529,0.896690431367785,TRUE
"562","MIBer_E4",25,0.1,0.8,0.7,"8","8@MIBer_E4",0.0466020132555364,0.613084992065723,TRUE
"563","MIBer_E4",25,0.11,1.06,0.95,"8","8@MIBer_E4",0.0562497446050058,0.740008248908902,TRUE
"564","MIBer_E4",25,0.09,0.97,0.88,"8","8@MIBer_E4",0.0552007747281878,0.726208250932855,TRUE
"565","MIBer_E4",50,0.07,0.72,0.65,"8","8@MIBer_E4",0.0470657433493819,0.619185714782292,TRUE
"566","MIBer_E4",50,0.06,0.5,0.44,"8","8@MIBer_E4",0.0372492315161284,0.490042022075232,TRUE
"567","MIBer_E4",50,0.07,0.65,0.58,"8","8@MIBer_E4",0.0436562358729538,0.57433104610796,TRUE
"568","MIBer_E4",100,0.08,0.97,0.89,"8","8@MIBer_E4",0.0565836265715812,0.744400720575444,TRUE
"569","MIBer_E4",100,0.09,0.83,0.74,"8","8@MIBer_E4",0.0492491853759093,0.647910558281419,TRUE
"570","MIBer_E4",100,0.07,1.42,1.35,"8","8@MIBer_E4",0.0747198497238503,0.982996554760572,TRUE
"571","Mo3a",0,0.78,3.9,3.12,"9","9@Mo3a",0.0879866292728784,0.843664023570243,TRUE
"572","Mo3a",0,0.78,4.48,3.7,"9","9@Mo3a",0.0994122165388116,0.953218816202826,TRUE
"573","Mo3a",0,0.75,5.87,5.12,"9","9@Mo3a",0.125474383867587,1.20311716022693,TRUE
"574","Mo3a",1,0.27,4.5,4.23,"9","9@Mo3a",0.129095047723221,1.23783406962195,TRUE
"575","Mo3a",1,0.24,4.06,3.82,"9","9@Mo3a",0.122916455916689,1.17859034513138,TRUE
"576","Mo3a",1,0.24,4.16,3.92,"9","9@Mo3a",0.124904308396179,1.19765096417054,TRUE
"577","Mo3a",5,0.1,1.43,1.33,"9","9@Mo3a",0.0708943147493298,0.679773544275453,TRUE
"578","Mo3a",5,0.15,1.36,1.21,"9","9@Mo3a",0.0627775397327912,0.601945456923341,TRUE
"579","Mo3a",5,0.13,1.86,1.73,"9","9@Mo3a",0.0808615082772425,0.775344458458138,TRUE
"580","Mo3a",10,0.12,1.24,1.12,"9","9@Mo3a",0.0618305609528934,0.592865305378878,TRUE
"581","Mo3a",10,0.12,1.3,1.18,"9","9@Mo3a",0.0639762990709858,0.613439818452036,TRUE
"582","Mo3a",10,0.13,1.2,1.07,"9","9@Mo3a",0.0592310394258132,0.567939668279038,TRUE
"583","Mo3a",25,0.12,1.02,0.9,"9","9@Mo3a",0.0534803633943047,0.512799034763635,TRUE
"584","Mo3a",25,0.12,1.35,1.23,"9","9@Mo3a",0.0657268647991542,0.630225202071748,TRUE
"585","Mo3a",25,0.12,1.02,0.9,"9","9@Mo3a",0.0534803633943047,0.512799034763635,TRUE
"586","Mo3a",50,0.11,0.68,0.57,"9","9@Mo3a",0.0397317333203786,0.380969634517219,TRUE
"587","Mo3a",50,0.1,0.76,0.66,"9","9@Mo3a",0.0447766663316166,0.429343217163547,TRUE
"588","Mo3a",50,0.1,0.57,0.47,"9","9@Mo3a",0.0353630547105306,0.339080349700557,TRUE
"589","Mo3a",100,0.12,0.88,0.76,"9","9@Mo3a",0.0476879625827078,0.457258321188991,TRUE
"590","Mo3a",100,0.13,0.71,0.58,"9","9@Mo3a",0.0388533065553612,0.372546797262163,TRUE
"591","Mo3a",100,0.09,0.71,0.62,"9","9@Mo3a",0.0437339597256589,0.419345174758066,TRUE
